"date","dpi","dpsi","bird_ID","band_number","swab_id","mass","l_eye_score","r_eye_score","scorer","swab","swabber","plasma","tears","tears_vol_l","tears_vol_r","rbcs","smear","experiment_notes","capture_date","population","capture_location","experiment_location","antimalarials","primary_treatment","primary_dose","primary_inoc_date","secondary_treatment","secondary_dose","secondary_inoc_date","recovered_prior_sec","elisa_date","od_mean","room","stack","cage","sex","mass_cap","vital_notes","qpcr_plate","qpcr_date","well","cq_value","quantity","quantity1","log10_quantity1","extraction_plate","extraction_date","cq8","cq7","cq6","cq5","cq4","cq3","cq2","cq1","qpcr_neg_cntrls","slope","efficiency","r2","yinter","error","ELISA.Run.Date","elisa_od","elisa_cv","MG.....OD.0.0621.","ELISA.notes","tes","threshold_cutoff","seropos_cutoff","pathology_cutoff","quantity_clean","day_inf","inf","inf_pri","inf_sec"
20211207,49,"7","49_2280","2280","2280 SID 7","na",0,0,"dmh","y","dmh","n","n","na","na","na","na",NA,20210618,"va","lr","vt","n","High",30000,20211019,2,100,20211130,"y","20210908","0.043","a","11","1","Male",19.8,"did not receive Cankerex until 7/5/21",7,20220411,"B4","34.6692149",7.3723811,8.3723811,0.922848989,5,20220128,"na",12.73909061,15.79001628,"18.86811414","22.21804577","25.71867181",29.06757017,"32.39865795","neg",-3.299,100.947,0.999,37.532,"0.019",NA,NA,NA,NA,NA,0,50,0.061,0,7.3723811,0,1,1,0
20211214,56,"14","56_2280","2280","2280 SID 14","19.1",0,0,"dmh","y","dmh","y","n","na","na","y","n","Both eyes not quite scoreable",20210618,"va","lr","vt","n","High",30000,20211019,2,100,20211130,"y","20210908","0.043","a","11","1","Male",19.8,"did not receive Cankerex until 7/5/21",14,20220414,"G10","Undetermined",0,1,0,10,20220209,"8.902841528",11.40514415,14.66821008,"17.91215959","22.30928992","25.27546141",28.50220874,"na","neg",-3.364,98.291,0.996,37.215,"0.047","9.4.23",0.049,2,"-","",0,50,0.061,0,0,0,1,1,0
20211221,63,"21","63_2280","2280","2280 SID 21","na",0,0,"dmh","y","dmh","n","n","na","na","na","na",NA,20210618,"va","lr","vt","n","High",30000,20211019,2,100,20211130,"y","20210908","0.043","a","11","1","Male",19.8,"did not receive Cankerex until 7/5/21",16,20220414,"E11","Undetermined",0,1,0,12,20220211,"9.313324593",12.0047658,15.02507223,"18.2874533","21.45327907","na",29.39667,"na","neg",-3.36,99.438,0.994,37.324,"0.063",NA,NA,NA,NA,NA,0,50,0.061,0,0,0,1,1,0
20211012,-8,"-49","-7_2282","2282","2282 PID -7","19.8",NA,NA,"na","y","dmh","y","n","na","na","y","n",NA,20210621,"va","ivt","vt","n","Low",750,20211019,2,100,20211130,"y","20210908","0.05","a","10","1","Female",18.9,"did not receive Cankerex until 7/5/21",1,20220329,"G6","Undetermined",0,1,0,1,20211208,"11.082",12.843,15.854,"20.17",NA,"26.494",30.904,NA,"neg",-3.372,97.967,0.991,38.954,"0.082","6.30.22",0.044,1.45,"-","",0,50,0.061,0,0,0,1,1,0
20211026,7,"-35","7_2282","2282","2282 PID 7","na",0,0.5,"dmh","y","dmh","n","n","na","na","na","na",NA,20210621,"va","ivt","vt","n","Low",750,20211019,2,100,20211130,"y","20210908","0.05","a","10","1","Female",18.9,"did not receive Cankerex until 7/5/21",4,20220404,"D5","21.13956251",58107.66973,58108.66973,4.764240933,3,20220126,"9.023035844",11.11909956,14.37866456,"18.5554148","na","25.02698387",28.74760898,"na","neg",-3.37,98.046,0.996,37.194,"0.057",NA,NA,NA,NA,NA,0.5,50,0.061,0,58107.66973,1,1,1,0
20211102,14,"-28","14_2282","2282","na","19.9",0,0,"dmh","n","na","y","y","1","1","n","n","L eye not quite scoreable",20210621,"va","ivt","vt","n","Low",750,20211019,2,100,20211130,"y","20210908","0.05","a","10","1","Female",18.9,"did not receive Cankerex until 7/5/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.11.22",0.065,0.22,"+","",0,50,0.061,0,0,0,1,1,0
20211109,21,"-21","21_2282","2282","na","19.7",0,0,"dmh","n","na","n","n","na","na","na","na",NA,20210621,"va","ivt","vt","n","Low",750,20211019,2,100,20211130,"y","20210908","0.05","a","10","1","Female",18.9,"did not receive Cankerex until 7/5/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,0.061,0,0,0,1,1,0
20211116,28,"-14","28_2282","2282","na","na",0,0,"dmh","n","na","n","n","na","na","na","na",NA,20210621,"va","ivt","vt","n","Low",750,20211019,2,100,20211130,"y","20210908","0.05","a","10","1","Female",18.9,"did not receive Cankerex until 7/5/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,0.061,0,0,0,1,1,0
20211123,35,"-7","35_2282","2282","na","na",0,0,"dmh","n","na","n","n","na","na","na","na",NA,20210621,"va","ivt","vt","n","Low",750,20211019,2,100,20211130,"y","20210908","0.05","a","10","1","Female",18.9,"did not receive Cankerex until 7/5/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,0.061,0,0,0,1,1,0
20211129,41,"-1","41_2282","2282","2282 PID 41","18.3",0,0,"dmh","y","dmh","y","n","na","na","y","n",NA,20210621,"va","ivt","vt","n","Low",750,20211019,2,100,20211130,"y","20210908","0.05","a","10","1","Female",18.9,"did not receive Cankerex until 7/5/21",6,20220404,"G9","Undetermined",0,1,0,5,20220128,"9.224596807",11.53930901,14.73461186,"18.88393093","na","25.20403948",28.9560212,"na","neg",-3.35,98.86,0.996,37.36,"0.05","9.9.22",0.043,1.644,"-","",0,50,0.061,0,0,0,1,1,0
